id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	aerospace information research institute	-0.6674	-0.4534	1	13	34	13	148	13.3018	2021.3846	11.3846	1.0232
40	arizona state university-tempe	0.3893	-0.1365	3	9	9	14	424	26.7068	2018.9286	30.2857	1.9076
107	central south university	-0.5437	-0.5653	1	4	6	14	148	9.4641	2018.2143	10.5714	0.676
111	centre national de la recherche scientifique (cnrs)	-0.3031	0.0039	1	13	23	34	301	18.3945	2018.9706	8.8529	0.541
123	china university of geosciences	-0.1482	-0.0592	1	17	32	44	625	54.2626	2020.5909	14.2045	1.2332
130	chinese academy of sciences	-0.593	-0.0845	1	24	82	56	945	63.0535	2019.875	16.875	1.126
164	consiglio nazionale delle ricerche (cnr)	-0.4076	-0.583	1	11	12	10	101	5.7727	2019.5	10.1	0.5773
188	delft university of technology	-0.6957	0.3543	5	3	4	19	708	40.9033	2018.3158	37.2632	2.1528
214	egyptian knowledge bank (ekb)	0.1523	-0.6474	4	5	7	11	382	16.0177	2018.2727	34.7273	1.4562
224	eth zurich	0.2634	0.2234	3	15	18	19	728	52.3698	2019.7895	38.3158	2.7563
261	george mason university	-0.0609	-0.8068	4	4	4	21	450	20.063	2017.5714	21.4286	0.9554
267	german aerospace centre (dlr)	0.12	-0.3985	1	17	47	53	979	61.8005	2019.5094	18.4717	1.166
296	harvard university	-0.0505	0.6961	2	4	6	11	205	14.4414	2021.0909	18.6364	1.3129
319	hong kong polytechnic university	-0.5177	-0.0294	1	18	22	10	114	15.4682	2022.1	11.4	1.5468
344	imt - institut mines-telecom	-0.0541	-0.2902	1	4	11	13	101	6.0059	2018.8462	7.7692	0.462
362	inesc coimbra	-0.5513	0.796	5	6	23	11	190	9.1403	2017.3636	17.2727	0.8309
381	institute of geographic sciences & natural resources research	-0.7535	0.2084	1	8	31	16	297	20.3311	2019.9375	18.5625	1.2707
393	international institute for applied systems analysis (iiasa)	-0.3751	0.438	5	12	30	20	520	25.6294	2017.75	26	1.2815
400	istanbul technical university	-0.5582	-0.3867	1	13	15	13	118	9.9982	2020.1538	9.0769	0.7691
434	karlsruhe institute of technology	0.8647	0.6692	2	2	3	13	80	7.6205	2019.4615	6.1538	0.5862
469	leibniz university hannover	0.58	-0.9024	1	2	7	11	76	6.4744	2021.2727	6.9091	0.5886
497	massachusetts institute of technology (mit)	-0.9219	-0.4719	1	3	3	12	321	17.2855	2017.6667	26.75	1.4405
499	maynooth university	-0.1919	0.8365	2	9	19	23	616	20.1951	2014.2609	26.7826	0.878
528	nanjing normal university	-1.0321	-0.1085	1	7	9	12	122	8.8508	2019.75	10.1667	0.7376
568	national university of singapore	0.5175	-0.1685	3	8	13	26	605	73.3776	2020.5	23.2692	2.8222
605	norwegian university of science & technology (ntnu)	0.4164	-0.0076	3	12	23	16	227	25.4425	2021.5	14.1875	1.5902
610	ohio state university	0.4256	-1.075	4	1	1	11	76	4.4484	2018.0909	6.9091	0.4044
643	polytechnic university of milan	-0.5696	0.5279	5	8	16	23	392	22.9235	2017.4783	17.0435	0.9967
651	purdue university	-0.1853	-0.5225	1	4	6	11	137	8.342	2017.4545	12.4545	0.7584
676	ruprecht karls university heidelberg	0.0954	0.0361	2	34	67	102	3644	170.5288	2017.4216	35.7255	1.6719
741	stanford university	0.0361	0.5969	2	8	9	11	286	20.7313	2019.5455	26	1.8847
763	technical university of berlin	0.7399	0.2904	3	5	5	12	77	13.5289	2019.6667	6.4167	1.1274
767	technical university of munich	-0.0674	-0.4767	1	14	40	42	667	41.3057	2020.0952	15.881	0.9835
769	technion israel institute of technology	1.0729	-0.5907	6	0	0	10	59	5.1552	2019.6	5.9	0.5155
773	technische universitat wien	0.4667	0.5196	2	5	6	14	226	13.7803	2016.3571	16.1429	0.9843
806	tongji university	-0.5334	-0.2517	1	12	15	14	721	37.5417	2019.2857	51.5	2.6816
811	tsinghua university	-0.9155	-0.2858	1	6	8	12	464	29.2713	2020.6667	38.6667	2.4393
845	universidad de malaga	0.6336	1.074	7	0	0	10	84	3.7208	2016	8.4	0.3721
863	universidade de coimbra	-0.3886	0.8736	5	6	25	15	347	16.5083	2017.3333	23.1333	1.1006
865	universidade de sao paulo	0.5552	0.306	2	3	8	13	171	8.9371	2018.5385	13.1538	0.6875
923	universite gustave-eiffel	-0.3482	0.1955	1	7	9	17	566	11.7276	2018.5882	33.2941	0.6899
938	university college dublin	-0.453	0.5876	2	3	11	22	533	17.3419	2015.5909	24.2273	0.7883
939	university college london	-0.2857	-0.7461	4	5	32	28	3794	44.4931	2016.8214	135.5	1.589
966	university of bonn	0.8164	-0.924	1	1	6	12	154	9.2596	2020.3333	12.8333	0.7716
975	university of calgary	0.387	-0.6955	4	5	5	10	291	13.4072	2018.3	29.1	1.3407
976	university of california berkeley	0.2652	0.8917	2	3	3	11	956	49.2313	2020.6364	86.9091	4.4756
982	university of california santa barbara	-0.0747	0.4163	2	9	11	15	456	28.9272	2017.8667	30.4	1.9285
992	university of chinese academy of sciences	-0.6943	-0.1701	1	15	49	21	259	19.9415	2020.7143	12.3333	0.9496
995	university of colorado boulder	0.697	0.1481	3	6	6	13	408	26.1237	2018.3846	31.3846	2.0095
1010	university of florida	0.4437	-0.3476	2	1	5	17	437	18.2171	2016.1176	25.7059	1.0716
