id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
10	aerospace information research institute	1.2355	-0.043	1	13	34	13	148	13.3018	2021.3846	11.3846	1.0232
40	arizona state university-tempe	0.02	0.2134	2	9	9	14	424	26.7068	2018.9286	30.2857	1.9076
107	central south university	0.3707	-0.2445	1	4	6	14	148	9.4641	2018.2143	10.5714	0.676
111	centre national de la recherche scientifique (cnrs)	0.9215	0.3689	1	14	24	34	301	18.3945	2018.9706	8.8529	0.541
123	china university of geosciences	0.4078	0.2987	1	18	34	44	625	54.2626	2020.5909	14.2045	1.2332
130	chinese academy of sciences	0.9105	-0.4371	1	25	83	56	945	63.0535	2019.875	16.875	1.126
164	consiglio nazionale delle ricerche (cnr)	1.1514	0.2649	1	11	12	10	101	5.7727	2019.5	10.1	0.5773
188	delft university of technology	-0.2092	0.2942	5	3	4	19	708	40.9033	2018.3158	37.2632	2.1528
214	egyptian knowledge bank (ekb)	-0.4421	-0.5818	4	5	7	11	382	16.0177	2018.2727	34.7273	1.4562
224	eth zurich	-0.0083	0.8227	2	16	37	19	728	52.3698	2019.7895	38.3158	2.7563
261	george mason university	0.0316	-0.606	4	4	4	21	450	20.063	2017.5714	21.4286	0.9554
267	german aerospace centre (dlr)	0.753	0.7935	2	18	48	53	979	61.8005	2019.5094	18.4717	1.166
296	harvard university	-0.0978	0.253	3	4	6	11	205	14.4414	2021.0909	18.6364	1.3129
319	hong kong polytechnic university	0.7358	-0.1914	1	18	22	10	114	15.4682	2022.1	11.4	1.5468
344	imt - institut mines-telecom	0.6057	0.6311	1	4	11	13	101	6.0059	2018.8462	7.7692	0.462
362	inesc coimbra	-1.214	-0.0161	5	6	23	11	190	9.1403	2017.3636	17.2727	0.8309
381	institute of geographic sciences & natural resources research	0.8646	-0.8429	1	8	31	16	297	20.3311	2019.9375	18.5625	1.2707
393	international institute for applied systems analysis (iiasa)	-0.7857	-0.0672	5	13	31	20	520	25.6294	2017.75	26	1.2815
400	istanbul technical university	0.8906	-0.0018	1	13	15	13	118	9.9982	2020.1538	9.0769	0.7691
434	karlsruhe institute of technology	-0.4718	0.1449	3	2	3	13	80	7.6205	2019.4615	6.1538	0.5862
469	leibniz university hannover	-0.0831	1.1147	2	2	7	11	76	6.4744	2021.2727	6.9091	0.5886
497	massachusetts institute of technology (mit)	0.1845	-0.4323	1	3	3	12	321	17.2855	2017.6667	26.75	1.4405
499	maynooth university	-0.8752	-0.5718	3	9	19	23	616	20.1951	2014.2609	26.7826	0.878
528	nanjing normal university	0.5168	-0.8073	1	7	9	12	122	8.8508	2019.75	10.1667	0.7376
568	national university of singapore	0.1263	0.9219	2	9	14	26	605	73.3776	2020.5	23.2692	2.8222
605	norwegian university of science & technology (ntnu)	0.309	0.8277	2	13	24	16	227	25.4425	2021.5	14.1875	1.5902
610	ohio state university	-0.0692	-0.2391	4	1	1	11	76	4.4484	2018.0909	6.9091	0.4044
643	polytechnic university of milan	-0.7878	0.1864	5	8	16	23	392	22.9235	2017.4783	17.0435	0.9967
651	purdue university	0.5031	-0.2732	1	4	6	11	137	8.342	2017.4545	12.4545	0.7584
676	ruprecht karls university heidelberg	-0.1503	0.009	3	35	69	102	3644	170.5288	2017.4216	35.7255	1.6719
741	stanford university	0.0246	-0.1825	3	9	10	11	286	20.7313	2019.5455	26	1.8847
753	swiss federal institutes of technology domain	0.0347	0.59	2	22	44	24	950	68.1358	2019.875	39.5833	2.839
763	technical university of berlin	-0.3474	0.647	2	6	6	12	77	13.5289	2019.6667	6.4167	1.1274
767	technical university of munich	1.045	0.608	2	15	41	42	667	41.3057	2020.0952	15.881	0.9835
