id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
55	"agert, carsten"	-0.0512	1.043	7	3	17	6	185	8.5204	2018	30.8333	1.4201
57	"agouris, peggy"	-0.5784	0.5244	5	4	15	5	193	5.5872	2016.2	38.6	1.1174
76	"ai, tinghua"	-0.4638	1.0474	9	1	3	5	47	4.8385	2019.8	9.4	0.9677
98	"alba, enrique"	-0.7031	-0.8926	15	1	9	9	83	3.3143	2015.2222	9.2222	0.3683
119	"alhamwi, alaa"	-0.0595	0.9144	7	3	15	6	183	8.3984	2018.1667	30.5	1.3997
122	"ali, ahmed loai"	0.3818	0.2449	1	3	5	5	375	14.6318	2016.2	75	2.9264
138	"almendros-jimenez, jesus m."	-1.086	-0.227	10	1	5	5	43	2.7826	2020.6	8.6	0.5565
164	"anderson, jennings"	-0.681	-0.4471	2	6	15	9	193	22.4631	2019.4444	21.4444	2.4959
187	"antoniou, vyron"	0.563	-0.0302	1	10	17	6	405	7.2413	2015.3333	67.5	1.2069
210	"arsanjani, jamal jokar"	0.2643	-0.0271	1	10	13	15	672	27.2333	2016.0667	44.8	1.8156
288	"ballatore, andrea"	0.1794	0.185	6	4	8	12	315	11.9315	2015.5	26.25	0.9943
364	"becerra-teron, antonio"	-1.0544	-0.1513	10	1	5	6	45	3.5956	2021	7.5	0.5993
409	"bertolotto, michela"	0.1546	0.3185	6	4	16	12	258	7.1022	2015.5	21.5	0.5919
435	"biljecki, filip"	-1.1726	0.1984	18	0	0	18	804	76.6393	2020.6667	44.6667	4.2577
466	"boeing, geoff"	1.1621	-0.1964	19	0	0	8	1041	55.9003	2020.75	130.125	6.9875
539	"brovelli, maria antonia"	0.6229	0.1079	1	6	13	12	247	16.1816	2018.0833	20.5833	1.3485
652	"capra, licia"	0.4251	0.6236	8	2	14	9	165	7.6806	2016	18.3333	0.8534
751	"chen, bin"	0.7068	0.4818	20	0	0	6	101	6.0137	2017.5	16.8333	1.0023
891	"corcoran, padraig"	0.0404	0.236	6	3	18	12	310	8.6301	2013.9167	25.8333	0.7192
914	"croitoru, arie"	-0.4578	0.6291	5	5	18	5	303	11.608	2016.6	60.6	2.3216
916	"crooks, andrew"	-0.3492	0.4679	5	5	19	6	323	12.851	2017.1667	53.8333	2.1418
960	"dalyot, sagi"	0.8559	-0.8433	21	0	0	9	57	4.4039	2019.2222	6.3333	0.4893
989	"de albuquerque, joao porto"	-0.5156	-0.4514	2	4	10	6	214	22.5215	2018.8333	35.6667	3.7536
1050	"demidova, elena"	0.915	-0.5066	11	1	5	7	48	3.9054	2021.7143	6.8571	0.5579
1079	"devillers, rodolphe"	-0.0202	0.6337	22	0	0	5	77	2.0314	2015	15.4	0.4063
1105	"ding, linfang"	-0.0161	-0.6921	3	1	1	5	20	1.4164	2020	4	0.2833
1117	"dittus, martin"	0.302	0.6446	8	2	10	6	57	2.4975	2016.3333	9.5	0.4163
1301	"fan, hongchao"	-0.0394	-0.5688	3	7	20	21	678	34.7596	2018.8571	32.2857	1.6552
1409	"fonte, cidalia"	0.6841	-0.0803	1	5	13	11	179	8.5585	2017.7273	16.2727	0.778
1411	"foody, giles"	0.47	-0.2571	1	9	14	6	149	7.0622	2016.8333	24.8333	1.177
1412	"forget, yann"	0.7165	0.8368	12	1	4	5	119	6.6192	2018.4	23.8	1.3238
1436	"fraundorfer, friedrich"	-0.2778	0.0567	4	1	2	5	120	7.4601	2019.2	24	1.492
1449	"fritz, steffen"	0.3762	-0.145	1	5	9	5	241	11.5868	2016.4	48.2	2.3174
1474	"funke, stefan"	-0.0354	-1.0748	23	0	0	5	4	0.1568	2017.8	0.8	0.0314
1561	"ghamisi, pedram"	-0.2354	-0.1348	4	5	6	5	194	11.8687	2019.8	38.8	2.3737
1776	"hakimpour, farshad"	1.0136	0.0374	24	0	0	5	13	1.6617	2018	2.6	0.3323
1778	"haklay, mordechai"	0.4628	0.1722	1	3	3	5	3394	21.2894	2011.4	678.8	4.2579
1868	"hecht, brent"	-0.9849	0.5178	13	1	5	7	196	8.7576	2017.5714	28	1.2511
1901	"herfort, benjamin"	-0.5632	-0.3213	2	6	19	7	221	28.4764	2020.5714	31.5714	4.0681
1930	"hochmair, hartwig h."	0.2354	-0.3824	3	4	14	14	387	16.1188	2016.2143	27.6429	1.1513
1995	"hu, xuke"	-0.0101	-0.4441	3	5	12	5	50	6.8469	2020.8	10	1.3694
2175	"jiang, bin"	1.118	0.2892	25	0	0	5	103	7.1808	2017.8	20.6	1.4362
2191	"jilani, musfira"	0.0406	0.3777	6	3	10	5	31	1.6649	2017.2	6.2	0.333
2243	"juhasz, levente"	0.2116	-0.2343	3	4	9	6	91	5.5247	2019	15.1667	0.9208
2597	"lautenbach, sven"	-0.4327	-0.2922	2	8	28	12	198	29.6852	2021.9167	16.5	2.4738
2690	"li, hao"	-0.274	-0.2994	2	11	21	12	114	11.7436	2021.6667	9.5	0.9786
2799	"linard, catherine"	0.7881	0.8073	12	1	4	5	60	3.6918	2018.8	12	0.7384
2893	"lobry, sylvain"	-0.2754	-0.6409	4	2	8	5	189	11.6638	2019.2	37.8	2.3328
2961	"ludwig, christina"	-0.4797	-0.0346	2	6	14	6	62	5.4956	2021.1667	10.3333	0.9159
3041	"mahabir, ron"	-0.5058	0.4001	5	4	12	6	77	3.8559	2019.5	12.8333	0.6426
3181	"medjroubi, wided"	0.0765	1.0397	7	3	17	9	268	12.2446	2018.2222	29.7778	1.3605
3264	"minghini, marco"	0.4374	-0.0021	1	9	24	15	309	15.1349	2017.4667	20.6	1.009
3283	"mobasheri, amin"	0.3363	0.1453	1	4	9	7	543	21.2033	2016.7143	77.5714	3.029
3285	"mocnik, franz-benjamin"	-0.5468	0.0551	2	1	1	5	31	2.6355	2020.4	6.2	0.5271
3295	"mokbel, mohamed f."	-0.7753	0.8485	26	0	0	6	53	1.8478	2018.1667	8.8333	0.308
3318	"mooney, peter"	0.1486	0.0405	6	13	28	20	491	17.2619	2014.35	24.55	0.8631
3430	"neis, pascal"	0.1769	-0.522	3	4	12	10	996	32.41	2013.8	99.6	3.241
3435	"nelson, trisalyn"	-0.3091	-1.0332	27	0	0	5	91	7.4929	2021.2	18.2	1.4986
3481	"noskov, alexey"	-0.1286	-0.4206	3	5	11	5	14	0.9886	2019.2	2.8	0.1977
3484	"novack, tessio"	0.0383	-0.3092	3	7	11	6	94	10.1413	2020.1667	15.6667	1.6902
3523	"olteanu-raimond, ana-maria"	0.573	-0.3221	1	5	10	10	128	6.3868	2019.1	12.8	0.6387
3581	"palen, leysia"	-0.8192	-0.4423	2	2	9	6	166	8.6809	2016.6667	27.6667	1.4468
3693	"pfoser, dieter"	-0.3044	0.5953	5	3	4	6	208	12.3491	2018.8333	34.6667	2.0582
3829	"quattrone, giovanni"	0.3875	0.7352	8	2	14	9	165	7.6806	2016	18.3333	0.8534
4184	"schultz, michael"	-0.3694	-0.1489	2	6	13	6	119	11.574	2021.5	19.8333	1.929
4209	"see, linda"	0.5187	-0.1438	1	10	30	18	516	25.5208	2017.3333	28.6667	1.4178
4212	"sehra, sukhjit singh"	-0.8299	0.1834	14	1	6	7	89	9.8384	2018.2857	12.7143	1.4055
4338	"singh, jaiteg"	-0.8613	0.1036	14	1	6	9	102	11.1532	2019.1111	11.3333	1.2392
4385	"soden, robert"	-0.7901	-0.5439	2	2	8	6	121	6.1845	2017.1667	20.1667	1.0308
