id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
25	3d city models	0.4209	0.2216	6	23	31	7	2017.1429	49.4286	2.5589
35	3d reconstruction	0.9574	0.4494	4	17	18	5	2020.6	3.6	0.774
64	access	-1.0707	0.1391	3	61	86	20	2020	16.95	1.0632
68	accessibility	-0.7351	0.0428	3	97	155	39	2019.5128	14.2308	1.0101
78	accuracy	0.1775	-0.0334	1	115	219	46	2018.8261	23.087	1.4681
79	accuracy assessment	0.0668	-0.1392	1	56	80	16	2018.9375	23.375	1.2827
100	adaptation	0.5562	-0.7401	5	28	30	5	2021.2	9.2	1.0482
120	aerial	0.6514	-0.7196	2	32	36	7	2020.5714	16.5714	1.2009
124	aerial images	0.8426	-0.3366	2	17	17	5	2019.2	13.2	0.7532
131	africa	-0.4558	-0.6183	2	23	24	5	2021.2	11	0.8559
154	air pollution	-0.1047	-0.8967	2	19	22	5	2020.2	11.6	1.0226
161	air-pollution	-0.174	-0.7475	2	43	51	10	2019.1	52.6	2.6652
177	algorithm	0.8993	0.2592	4	63	73	22	2019.4545	11.7273	1.273
179	algorithms	0.6209	-0.0749	2	82	105	25	2019.56	20.04	1.0991
211	analytics	-0.2831	0.8707	1	23	25	7	2018	35.8571	1.8248
216	android	0.5971	0.8205	4	4	4	8	2014.5	3.5	0.1134
245	application	1.7014	0.1889	4	4	20	5	2014.4	5.2	0.169
261	area	0.0807	-0.3684	2	108	186	31	2020.2903	15.6452	1.1864
264	areal interpolation	0.2272	-0.2527	6	18	26	6	2017.5	35	1.3293
266	areas	0.1565	-0.3876	2	97	156	25	2020.12	27.04	1.7328
273	artificial intelligence	0.4576	-0.3449	2	12	14	6	2021.3333	2	0.2979
288	associations	-1.0678	-0.1875	3	44	63	10	2021.1	35.8	2.0885
311	augmented reality	1.0654	0.4862	4	22	24	8	2018.25	19.5	0.9376
355	autonomous vehicles	1.2894	0.1664	4	19	19	6	2021	9.6667	1.2394
401	behavior	-0.716	-0.0751	3	43	52	11	2019.6364	14.5455	1.058
414	benchmark	0.6949	-0.3352	2	26	27	6	2019.6667	30.1667	2.0724
417	benefits	-1.0901	0.0626	3	32	41	9	2020.5556	15.2222	1.58
428	bicycle	-0.8945	-0.3102	3	31	36	6	2021	8.6667	1.1524
436	big data	-0.2043	-0.0555	1	107	138	38	2019.3684	10.9474	0.8325
451	biodiversity	-0.2058	-0.3923	2	29	31	6	2017.1667	56	2.9583
506	building data	-0.3506	0.0323	1	23	32	6	2020.1667	41	2.3554
509	building detection	0.5272	-0.4335	2	26	32	8	2020.625	23.875	1.9083
513	building extraction	0.6262	-0.6404	2	29	38	8	2019.875	40.375	2.4689
515	building footprint	0.9222	-0.27	1	16	21	7	2018	57.8571	2.2981
516	building footprints	0.0383	0.0212	1	103	197	31	2019.4516	27.871	1.6326
534	buildings	0.5012	-0.59	2	52	72	12	2021.0833	32.8333	2.669
535	built environment	-1.0154	-0.146	3	62	103	20	2021.1	9.75	0.9402
558	calibration	0.8473	0.1751	4	24	27	5	2021.6	11.8	1.5327
580	care	-1.1343	0.3082	3	22	28	8	2021.125	8.625	0.6817
591	cartography	-0.1492	0.7004	1	39	46	12	2016.8333	18.9167	1.033
608	centerline extraction	0.8637	-0.5569	2	24	34	5	2019.2	4.6	0.3189
612	centrality	-0.7302	-0.3903	3	54	74	13	2019.6154	76	3.5304
620	challenges	-0.2825	0.1671	1	63	80	17	2020.5294	19.4118	1.6603
623	change detection	0.3817	0.0239	6	29	38	7	2018.1429	9.2857	0.4435
645	china	-0.2075	-0.4766	2	117	201	33	2020.6667	21.9697	1.5287
648	choice	-0.8749	-0.3405	3	31	41	8	2020.25	10.875	0.9624
654	cities	-0.3477	-0.361	2	111	176	36	2020.6111	27.5556	1.8762
661	citizen science	-0.0894	0.497	1	67	105	21	2018.2381	23.6667	1.2474
667	citizens	-0.081	0.6076	1	47	78	14	2016.4286	80.2857	1.0338
668	city	-0.4339	-0.2176	3	139	225	42	2019.4286	26.2619	1.9594
678	city models	0.4917	0.2021	6	18	23	5	2019.2	54.2	2.7198
684	citygml	0.452	0.2132	6	15	18	5	2017.4	76.8	3.0838
692	classification	0.2566	-0.3495	2	181	439	82	2020.1585	26.622	1.7506
700	climate	-0.1495	-0.8026	2	35	40	8	2020.375	16.25	1.2903
707	climate-change	-0.1152	-0.3749	5	46	54	10	2020.7	11.4	1.2462
709	cloud computing	0.2467	-0.4667	2	21	23	6	2018.6667	13.1667	0.9304
719	clustering	1.0629	-0.2652	1	13	13	5	2019.4	13.4	0.7465
725	cnn	1.0857	-0.3257	2	15	17	5	2020.8	45.6	2.4931
733	co2 emissions	-0.7593	-0.5113	3	26	28	5	2022	4	0.8331
761	collaborative mapping	-0.3314	0.6891	1	28	39	15	2016.6	18.3333	0.7079
779	communities	-0.7231	-0.1853	3	27	28	6	2020.5	22.5	1.7004
780	community	-0.1071	0.674	1	33	36	9	2015	58.6667	1.7952
807	completeness	-0.0986	0.2361	1	121	309	59	2019.1186	22.8814	1.3594
810	complex network	-0.7659	-0.1675	3	27	29	5	2018.4	28.6	1.0493
812	complex networks	-0.8392	-0.4332	3	27	28	8	2017.625	105.125	4.2133
836	computer vision	-0.6018	-0.6125	3	41	49	12	2021.5	11.8333	1.6004
846	conflation	0.118	0.8814	1	25	32	9	2017.3333	20.7778	0.8971
849	congestion	1.0011	0.109	4	22	23	7	2018.7143	10.4286	0.6253
858	connectivity	-0.8443	-0.4802	3	34	38	6	2020.3333	142.6667	6.5483
870	consumption	-0.8525	-0.104	3	18	20	5	2021	10.8	0.7514
898	contributors	-0.1624	0.4643	1	23	33	6	2020.5	13.1667	0.8143
