Time	Title	Author(s)
10:00	A consumer mapping app built entirely on open code and open data	Mike Cunningham
10:30	OpenStreetMap Data Wrangling for Spatial Analysis and Professional Use	Stefan Keller
11:30	How Corporations Identify Opportunities for OSM Contributions: A Baseline Belief in the Community's Mission	Jen Asbury
12:00	OSM Quality Assurance thru cross checking statistics and external datasets	Christian Quest
12:30	Making the world computable using Wolfram Technologies and OpenStreetMap data	Francisco Javier Rodríguez Arias; Nicolás Lichtmaier
14:30	Leveled up mapping with WorldView-3	Kevin Bullock
15:00	OSM on wheels	Nicole Beringer
15:30	Putting Big Data on the Map	Sebastian Mattheis
16:00	Transporte público al alcance de todos	Julián Perelli
17:00	Tangram: an open-source WebGL engine for real-time 2D and 3D maps	Brett Camper
17:30	OpenStreetMap and Telenav; Past, Present And Future	Martijn van Exel
18:00	Caminos y accesos Nacionales Para el Control y Fiscalización del Bosque y la Tierra - ABT	Oscar Sergio Miranda
18:30	OpenStreetMap como una herramienta para la gestión ambiental en Brasil	Pedro Ferraz Cruz
10:00	The state of OpenStreetMap in South America: A computational and visual analysis	Sterling Quinn
10:30	Public Health Mapping in Nigeria with OSM	Rafael Avila Coya
11:00	Posicionando a Río Chico en el mapa. Experiencia de mapeo colectivo con alumnos del Centro de Educación Media Rural de Río Chico, provincia de Río Negro, 	Fernando Raffo; Fernando Javier Umaña; Alumnos del CEM
12:00	The Long Tail of OpenStreetMap	Harry Wood
15:00	Mapillary - street level photos for OSM directly in iD	Peter Neubauer
15:30	French "BANO" address database project: why and how a community initiative get endorsed by a government agency	Pierre Pezziardi; Christian Quest
15:30	This year with HOT	Harry Wood
15:30	More than Just Data	Frederik Ramm
15:30	El uso de OSM para la identificación de Nucleos Poblados	Fernando Pino; Martin Moroni; Leandro Stryjek
15:30	Mapa Ecológico, onde os viajantes se encontram!	José Linhares da Silva
15:30	Espace OSM Francophone	Severin Menard
18:00	Wikimaps Expedition	Susanna Ånäs
18:00	Comunidades libres: organización y anarquía	Mauricio Miranda
10:00	Crowd Sourcing Canadian Postal Codes	Ervin Ruci
10:30	ScoutSigns: automatic road sign collection during navigation and analysis via JOSM	Beata Jancso
11:30	Future and possible improvement of S3DB definition	Marek Strassenburg Kleciak
12:00	Helping build the best map in the world	Alex Barth
14:30	Behind the Scenes of OSM Inspector	Frederik Ramm
15:00	Extracting building height using OSM building footprints and open LiDAR data	Yuriy Czoli
15:30	Can Global Navigation Satellite System (GNSS) change a way of mapping?	Hiroshi Miura
16:00	Dutch address and building import	Henk Hoff; Johan de Ruijter
17:00	Offline Community Mapping in the Amazon with iDEditor	Gregor MacLennan
17:30	3D Applications for OSM data	Robert Buchholz
18:00	Statistics for local communities	Joost Schouppe
