TI,AU,PY
THIS MAPPING STUFF COULD REALLY TAKE OFF,"COAST, STEVE",2007
WHY MASH-UPS SUCK (AND CARTOGRAPHY MATTERS),"FAIRHURST, RICHARD",2007
MAP ROOM 101,"CHILTON, STEVE",2007
BRINGING MAPS TO LIFE,"CRABTREE, BARRY",2007
STAGS - A STANDARDISED TAGGING SCHEMA FOR OSM,"ROBINSON, ANDY",2007
LIBERATING GIS FROM THE OS,"CALDER, MIKE",2007
HERE BE DRAGONS,"CHILTON, STEVE",2007
OSM AND THE ART OF BICYCLE MAINTENANCE,"CHERLDU, ETIENNE",2007
PUTTING THE MAP INTO OSM_ RENDERING GEO-DATA WITH MAPNIK,"PAVLENKO, ARTEM",2007
DEVELOPING CONCEPTS FOR AN EFFECTIVE ATLAS,"CARTWRIGHT, WILLIAM",2007
THE CATHEDRAL AND THE GPS - A PERSONAL VIEW,"PARSONS, ED",2007
ROUTE PLANNING WITH OSM DATA,"RAMM, FREDERIK",2007
NON-VEHICLE ROUTE PLANNING IN EXPERIENCE AUGMENTED NETWORKS,"HOLONE, HARALD",2007
GEOCLUE - GEOGRAPHIC INFORMATION SERVICE SYSTEM,"TURNER, ANDREW; BERGIUS, HENRI",2007
WHY IS TRACKING VEHICLES SO BLOODY HARD?,"WINSTANLEY, PHIL",2007
THE STATE OF THE NETHERLANDS,"DEKKERS, JEROEN",2007
OSM ON YOUR PHONE,"WATERS, TIM",2007
OPENSTREETMAP. A DISASTER WAITING TO HAPPEN,"MARON, MIKEL",2007
OSM AND THE PUBLIC - WHAT BARRIERS NEED TO BE CROSSED?,"HAKLAY, MUKI",2007
20 YEARS OF WEB MAPPING,"PHELAN, SEAN; MCKERRELL, JOHN",2007
THE MEGAGALACTIC SUPER VISIBLE STREETSIGN COMPANY,"BARR, ROBERT",2008
SO I HAVE ALL THIS DATA...,"CHILTON, STEVE",2008
THE STATE OF IRELAND,"BOSCH, CHRISTIAN VAN DEN; EASTON, GARETH",2008
USING CROWD SOURCE DATA IN A COMMERCIAL MAPPING API,"MCKERRELL, JOHN",2008
THE STATE OF ITALY,"CORTESI, SIMONE",2008
THE COMMERICAL VIABILITY OF OPENSTREETMAP,"FREYFOGLE, ED",2008
