Time,Title,Author
10:15 - 10:45,This Mapping Stuff Could Really Take Off,Steve Coast
10:15 - 10:45,Why Mash-ups Suck (and Cartography Matters),Richard Fairhurst
11:45 - 12:00,Map Room 101,Steve Chilton
12:00 - 12:30,Bringing Maps to Life,Barry Crabtree
12:35 - 13:00,STAGS - A standardised tagging schema for OSM,Andy Robinson
15:00 - 15:30,Liberating GIS from the OS,Mike Calder
16:00 - 16:30,Here be Dragons,Steve Chilton
16:30 - 17:00,OSM and the art of bicycle maintenance,Etienne Cherldu
17:00 - 17:30,Putting the map into OSM_ rendering geo-data with Mapnik,Artem Pavlenko
17:30 - 18:00,Developing Concepts for an Effective Atlas,William Cartwright
09:45 - 10:15,The Cathedral and the GPS - a Personal View,Ed Parsons
10:15 - 10:45,Route Planning With OSM Data,Frederik Ramm
10:45 - 11:15,Non-Vehicle Route Planning in Experience Augmented Networks,Harald Holone
12:00 - 12:30,GeoClue - Geographic Information Service System,Andrew Turner;Henri Bergius
12:30 - 13:00,Why is tracking vehicles so bloody hard?,Phil Winstanley
14:20 - 14:40,The State of the Netherlands,Jeroen Dekkers
14:40 - 15:00,OSM On Your Phone,Tim Waters
15:00 - 15:30,OpenStreetMap. A Disaster Waiting To Happen,Mikel Maron
16:00 - 16:30,OSM and the public - what barriers need to be crossed?,Muki Haklay
16:30 - 17:00,20 Years of Web Mapping,Sean Phelan;John McKerrell
