Top authors. 

Different names for the same person should be standardized. 


AF	Brovelli, M. A.  	 	Brovelli, Maria Antonia
	Minghini, M.		 	Minghini, Marco 
	Molinari, M. E.			Molinari, Monia Elisa
	Zamboni, G.				Zamboni, Giorgio

	Wightman, P.			Wightman, Pedro
	Kotsev, A.				Kotsev, Alexander 
	Lutz, M.				Lutz, Michael
	Fahl, F. C.				Fahl, Fernando César

	Li, H. 					Li, Hao
	Zipf, A. 				Zipf, Alexander
	Goetz, M.				Goetz, Marcus
	Dorn, H.				Dorn, Helen
	Toernros, T.			Toernros, Tobias
	Hahmann, S.				Hahmann, Stefan

	Fonte, C. C.			Fonte, Cidalia
	Fonte, Cidalia C.		Fonte, Cidalia
	Fonte, Cidalia Costa	Fonte, Cidalia


	Foody, G.				Foody, Giles
	Foody, G. M.			Foody, Giles
	Foody, Giles M. 		Foody, Giles

	Stehman, Stephen, V		Stehman, Stephen V.

	Biljecki, F.			Biljecki, Filip

	Vargas Munoz, John E.	Vargas-Munoz, John E.

	see l. 					See, Linda

	Sturn, T.				Sturn, Tobias
	Moorthy, I.				Moorthy, Inian 
	Danylo, O.				Danylo, Olga 
	Bayas, J. -C. Laso		Bayas, Juan Carlos Laso 

	Olteanu-Raimond, A. -M.	Olteanu-Raimond, Ana-Maria

	Mooney, P. 				Mooney, Peter


	Haklay, Mordechai (Muki)	Haklay, Mordechai
	Hakimpour, F. 			Hakimpour, Farshad

	Feldmeyer, D. 			Feldmeyer, Daniel

	Devillers, R.			Devillers, Rodolphe

	Dalyot, S. 				Dalyot, Sagi

	Crooks, Andrew T. 		Crooks, Andrew

	Birkmann, J. 			Birkmann, Joern

	Begin, D. 				Begin, Daniel

	Arsanjani, J. Jokar		Arsanjani, Jamal Jokar

	Hochmair, Hartwig		Hochmair, Hartwig H.
